,ECO,FEN,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
0,A00,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,1/2-1/2,1/2-1/2,0-1,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2
1,A01,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,0-1,1/2-1/2,0-1,1/2-1/2,1/2-1/2,1/2-1/2,0-1,1/2-1/2,1/2-1/2,1/2-1/2
2,A04,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1,0-1,0-1,1/2-1/2,1/2-1/2,1-0,1/2-1/2,1/2-1/2,0-1,1/2-1/2,1/2-1/2
3,A15,rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 1,1/2-1/2,1/2-1/2,1/2-1/2,1-0,1/2-1/2,1-0,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2
4,A16,rnbqkb1r/pppppppp/5n2/8/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 0 1,1/2-1/2,0-1,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1-0
5,A40,rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 1,1-0,1-0,1-0,1-0,1-0,1-0,1-0,0-1,1-0,1-0
6,A45,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 1,1/2-1/2,1/2-1/2,1-0,1/2-1/2,1/2-1/2,1/2-1/2,1-0,1-0,1/2-1/2,1/2-1/2
7,A46,rnbqkb1r/pppppppp/5n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 1,1/2-1/2,0-1,1/2-1/2,1-0,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1-0,1/2-1/2
8,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 1,1-0,1/2-1/2,1/2-1/2,1/2-1/2,0-1,1/2-1/2,1/2-1/2,0-1,1/2-1/2,1-0
9,B00,rnbqkbnr/ppppp1pp/5p2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1-0,1-0,0-1,1/2-1/2,1-0,1/2-1/2,1-0,1/2-1/2,1-0,1-0
10,B01,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1-0,1/2-1/2,1-0,1/2-1/2,1-0,1-0
11,B03,rnbqkb1r/pppppppp/8/3nP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 1,1-0,1-0,1/2-1/2,1-0,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2
12,B06,rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1/2-1/2,1-0,1-0,1/2-1/2,1/2-1/2,1/2-1/2,1-0,1/2-1/2,1/2-1/2,1-0
13,B07,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 1,0-1,1/2-1/2,1-0,0-1,1-0,1/2-1/2,1-0,1/2-1/2,1/2-1/2,1/2-1/2
14,B10,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2
15,B12,rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 1,0-1,1/2-1/2,1/2-1/2,1/2-1/2,1-0,1/2-1/2,0-1,1/2-1/2,0-1,1-0
16,B13,rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 1,0-1,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,0-1
17,B20,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1-0,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,0-1,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2
18,B21,rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 1,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1-0,1/2-1/2,1-0,0-1,1/2-1/2,1/2-1/2
19,B22,rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 1,1/2-1/2,1-0,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2,1/2-1/2
